"id","air_pressure","air_temperature","relative_humidity","wind_speed","wind_direction","precipitation","weather_datetime","created_at","updated_at"
1762,1011.1,25.7,85,1.6,東南東,0.1,2025-10-19 09:48:32.709 +0800,2025-10-20 09:48:31.612 +0800,2025-10-20 09:48:31.612 +0800
1763,1008.1,26.4,77,4.6,東北東,0.1,2025-10-19 12:30:31.351 +0800,2025-10-20 12:30:33.721 +0800,2025-10-20 12:30:33.721 +0800
1764,1007.9,28.2,71,4.2,東北東,0.0,2025-10-19 13:31:31.436 +0800,2025-10-20 13:31:44.527 +0800,2025-10-20 13:31:44.527 +0800
1765,1008.8,27.5,73,2.9,東,0.0,2025-10-19 14:30:00.146 +0800,2025-10-20 14:29:59.060 +0800,2025-10-20 14:29:59.060 +0800
1766,1009.6,27.9,72,2.6,東北東,0.0,2025-10-19 15:30:00.129 +0800,2025-10-20 15:29:59.046 +0800,2025-10-20 15:29:59.046 +0800
1767,1010.4,26.4,77,3.0,東北東,0.0,2025-10-19 16:30:00.126 +0800,2025-10-20 16:29:59.017 +0800,2025-10-20 16:29:59.017 +0800
1768,1010.6,26.0,80,2.5,東北東,0.0,2025-10-19 17:30:00.130 +0800,2025-10-20 17:29:59.023 +0800,2025-10-20 17:29:59.023 +0800
1769,1011.2,25.4,84,1.0,東南,0.0,2025-10-19 18:30:01.211 +0800,2025-10-20 18:30:00.141 +0800,2025-10-20 18:30:00.141 +0800
1770,1011.9,24.2,91,1.6,東南,0.5,2025-10-19 19:30:00.125 +0800,2025-10-20 19:29:59.052 +0800,2025-10-20 19:29:59.052 +0800
1771,1012.1,23.7,94,1.2,東南,5.0,2025-10-19 20:30:00.125 +0800,2025-10-20 20:29:59.023 +0800,2025-10-20 20:29:59.023 +0800
1772,1012.3,23.7,96,1.1,東南,4.0,2025-10-19 21:30:00.138 +0800,2025-10-20 21:29:59.071 +0800,2025-10-20 21:29:59.071 +0800
1773,1011.7,23.4,97,1.9,東,59.0,2025-10-19 22:30:00.124 +0800,2025-10-20 22:29:59.060 +0800,2025-10-20 22:29:59.060 +0800
1774,1011.5,23.2,96,1.2,東,54.5,2025-10-19 23:30:00.124 +0800,2025-10-20 23:29:59.049 +0800,2025-10-20 23:29:59.049 +0800
1775,1009.8,24.4,92,1.9,北,0.5,2025-10-20 12:30:00.148 +0800,2025-10-21 12:29:59.109 +0800,2025-10-21 12:29:59.109 +0800
1776,1009.4,24.1,93,0.9,北,2.0,2025-10-20 13:30:00.118 +0800,2025-10-21 13:29:59.028 +0800,2025-10-21 13:29:59.028 +0800
1777,1009.2,24.4,93,2.8,北北東,1.5,2025-10-20 14:30:00.123 +0800,2025-10-21 14:29:59.020 +0800,2025-10-21 14:29:59.020 +0800
1778,1009.8,24.1,94,1.6,東北,7.5,2025-10-20 15:30:00.122 +0800,2025-10-21 15:29:59.012 +0800,2025-10-21 15:29:59.012 +0800
1779,1010.3,24.0,92,3.1,東北,2.0,2025-10-20 16:30:00.132 +0800,2025-10-21 16:29:59.022 +0800,2025-10-21 16:29:59.022 +0800
1780,1010.9,23.7,92,1.4,東,0.5,2025-10-20 17:30:00.138 +0800,2025-10-21 17:29:59.024 +0800,2025-10-21 17:29:59.024 +0800
1781,1011.9,23.4,92,2.9,東北,3.0,2025-10-20 18:30:00.132 +0800,2025-10-21 18:29:59.025 +0800,2025-10-21 18:29:59.025 +0800
1782,1012.8,23.2,92,1.3,東北東,3.0,2025-10-20 19:30:00.127 +0800,2025-10-21 19:29:59.014 +0800,2025-10-21 19:29:59.014 +0800
1783,1013.5,22.8,93,1.4,東北,2.5,2025-10-20 20:30:00.154 +0800,2025-10-21 20:29:59.077 +0800,2025-10-21 20:29:59.077 +0800
1784,1013.5,22.9,93,2.1,東北東,4.5,2025-10-20 21:30:00.164 +0800,2025-10-21 21:29:59.080 +0800,2025-10-21 21:29:59.080 +0800
1785,1013.6,22.8,94,1.2,東南,2.0,2025-10-20 22:30:01.148 +0800,2025-10-21 22:30:00.059 +0800,2025-10-21 22:30:00.059 +0800
1786,1013.6,22.4,95,1.0,東南,3.0,2025-10-20 23:30:00.127 +0800,2025-10-21 23:29:59.041 +0800,2025-10-21 23:29:59.041 +0800
1787,1012.9,22.0,96,1.3,東,6.5,2025-10-21 12:30:00.158 +0800,2025-10-22 12:29:59.049 +0800,2025-10-22 12:29:59.049 +0800
1788,1012.4,21.9,96,0.5,西,6.5,2025-10-21 13:30:00.130 +0800,2025-10-22 13:29:59.018 +0800,2025-10-22 13:29:59.018 +0800
1789,1012.3,21.8,94,2.3,西,8.0,2025-10-21 14:30:00.125 +0800,2025-10-22 14:29:59.019 +0800,2025-10-22 14:29:59.019 +0800
1790,1012.3,21.8,95,3.3,西南西,11.5,2025-10-21 15:30:00.170 +0800,2025-10-22 15:29:59.070 +0800,2025-10-22 15:29:59.070 +0800
1791,1012.3,21.7,95,2.0,西北西,14.5,2025-10-21 16:30:00.137 +0800,2025-10-22 16:29:59.024 +0800,2025-10-22 16:29:59.024 +0800
1792,1012.7,21.7,95,1.7,西南西,15.0,2025-10-21 17:30:00.125 +0800,2025-10-22 17:29:59.016 +0800,2025-10-22 17:29:59.016 +0800
1793,1013.3,21.8,95,1.3,西南西,11.5,2025-10-21 18:30:00.133 +0800,2025-10-22 18:29:59.027 +0800,2025-10-22 18:29:59.027 +0800
1794,1014.0,21.7,97,0.4,風向不定,6.0,2025-10-21 19:30:00.124 +0800,2025-10-22 19:29:59.012 +0800,2025-10-22 19:29:59.012 +0800
